('2015-10-02T14:00:15Z', '4.0360')
('2015-10-02T14:00:43Z', '4.0323')
('2015-10-02T14:01:31Z', '4.0331')
('2015-10-02T14:09:06Z', '4.0323')
('2015-10-02T14:10:13Z', '4.0317')
('2015-10-02T14:10:57Z', '4.0288')
('2015-10-02T15:33:11Z', '3.9814')
('2015-10-02T15:34:33Z', '3.9766')
('2015-10-02T15:35:07Z', '3.9766')
('2015-10-02T15:35:22Z', '3.9766')
('2015-10-02T15:35:41Z', '3.9782')
('2015-10-02T16:35:48Z', '3.9638')
('2015-10-02T17:57:01Z', '3.9562')
('2015-10-02T18:59:32Z', '3.9502')
('2015-10-03T00:35:09Z', '3.9361')
('2015-10-03T16:06:46Z', '3.9361')
('2015-10-03T20:20:21Z', '3.9361')
('2015-10-03T21:37:02Z', '3.9361')
('2015-10-03T22:59:11Z', '3.9361')
('2015-10-04T00:01:42Z', '3.9361')
('2015-10-04T01:01:45Z', '3.9361')
('2015-10-05T12:10:00Z', '3.9162')
('2015-10-05T13:10:03Z', '3.9271')
('2015-10-05T15:21:01Z', '3.9034')
('2015-10-05T17:51:50Z', '3.9072')
('2015-10-05T19:06:42Z', '3.8991')
('2015-10-11T15:41:13Z', '3.7592')
('2015-10-11T19:26:57Z', '3.7592')
('2015-10-16T18:05:52Z', '3.8354')
('2015-10-23T11:38:15Z', '3.8746')
('2015-10-23T11:39:44Z', '3.8801')
('2015-10-23T11:40:14Z', '3.8779')
